gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory	eventType
732524593				CC_BY_4_0									Institute of Research for Development	arim			PRESERVED_SPECIMEN					21165															PRESENT																																																																																																									Anopheles stephensi Liston, 1901								Animalia	Arthropoda	Insecta	Diptera	Culicidae		Anopheles	Anopheles			stephensi			SPECIES				ACCEPTED			4b3541f2-92e0-4cc6-bb10-a2a2ffe61c60	FR	2023-09-07T05:05:22.638Z						INSTITUTION_MATCH_NONE		false	false	1650441	1650441	1	54	216	811	3346	1650098		1650441	Anopheles stephensi	Anopheles stephensi Liston, 1901	Anopheles stephensi Liston 1901		EML	2023-09-07T05:05:22.638Z	2023-01-08T01:40:16.346Z												NE	
732524591				CC_BY_4_0									Institute of Research for Development	arim			PRESERVED_SPECIMEN					14858															PRESENT																																																																																																									Anopheles stephensi Liston, 1901								Animalia	Arthropoda	Insecta	Diptera	Culicidae		Anopheles	Anopheles			stephensi			SPECIES				ACCEPTED			4b3541f2-92e0-4cc6-bb10-a2a2ffe61c60	FR	2023-09-07T05:05:22.638Z						INSTITUTION_MATCH_NONE		false	false	1650441	1650441	1	54	216	811	3346	1650098		1650441	Anopheles stephensi	Anopheles stephensi Liston, 1901	Anopheles stephensi Liston 1901		EML	2023-09-07T05:05:22.638Z	2023-01-08T01:40:16.346Z												NE	
732524589				CC_BY_4_0									Institute of Research for Development	arim			PRESERVED_SPECIMEN					13552															PRESENT																																									FR																																																																Anopheles stephensi Liston, 1901								Animalia	Arthropoda	Insecta	Diptera	Culicidae		Anopheles	Anopheles			stephensi			SPECIES				ACCEPTED			4b3541f2-92e0-4cc6-bb10-a2a2ffe61c60	FR	2023-09-07T05:05:22.638Z						INSTITUTION_MATCH_NONE		false	false	1650441	1650441	1	54	216	811	3346	1650098		1650441	Anopheles stephensi	Anopheles stephensi Liston, 1901	Anopheles stephensi Liston 1901		EML	2023-09-07T05:05:22.638Z	2023-01-08T01:40:16.346Z	false											NE	
732524587				CC_BY_4_0									Institute of Research for Development	arim			PRESERVED_SPECIMEN					12283															PRESENT																																																																																																									Anopheles stephensi Liston, 1901								Animalia	Arthropoda	Insecta	Diptera	Culicidae		Anopheles	Anopheles			stephensi			SPECIES				ACCEPTED			4b3541f2-92e0-4cc6-bb10-a2a2ffe61c60	FR	2023-09-07T05:05:22.638Z						INSTITUTION_MATCH_NONE		false	false	1650441	1650441	1	54	216	811	3346	1650098		1650441	Anopheles stephensi	Anopheles stephensi Liston, 1901	Anopheles stephensi Liston 1901		EML	2023-09-07T05:05:22.638Z	2023-01-08T01:40:16.346Z												NE	
732524585				CC_BY_4_0									Institute of Research for Development	arim			PRESERVED_SPECIMEN					7377															PRESENT																																																																																																									Anopheles stephensi Liston, 1901								Animalia	Arthropoda	Insecta	Diptera	Culicidae		Anopheles	Anopheles			stephensi			SPECIES				ACCEPTED			4b3541f2-92e0-4cc6-bb10-a2a2ffe61c60	FR	2023-09-07T05:05:22.638Z						INSTITUTION_MATCH_NONE		false	false	1650441	1650441	1	54	216	811	3346	1650098		1650441	Anopheles stephensi	Anopheles stephensi Liston, 1901	Anopheles stephensi Liston 1901		EML	2023-09-07T05:05:22.638Z	2023-01-08T01:40:16.346Z												NE	
732524583				CC_BY_4_0									Institute of Research for Development	arim			PRESERVED_SPECIMEN					7376															PRESENT																																																																																																									Anopheles stephensi Liston, 1901								Animalia	Arthropoda	Insecta	Diptera	Culicidae		Anopheles	Anopheles			stephensi			SPECIES				ACCEPTED			4b3541f2-92e0-4cc6-bb10-a2a2ffe61c60	FR	2023-09-07T05:05:22.638Z						INSTITUTION_MATCH_NONE		false	false	1650441	1650441	1	54	216	811	3346	1650098		1650441	Anopheles stephensi	Anopheles stephensi Liston, 1901	Anopheles stephensi Liston 1901		EML	2023-09-07T05:05:22.638Z	2023-01-08T01:40:16.346Z												NE	
4439237426		https://doi.org/10.1073/pnas.2003976117		CC_BY_NC_4_0											Anopheles stephensi occurrence data 1985 - 2019		HUMAN_OBSERVATION				An_stephensi:151:IR																PRESENT				Vatandoost, H., Oshaghi, M.A., Abaie, M.R., Shahi, M., Yaaghoobi, F., Baghaii, M., Hanafi-Bojd, A.A., Zamani, G., Townson, H. Bionomics of Anopheles stephensi Liston in the malarious area of Hormozgan province, southern Iran, Acta Trop. 97(2), 196-203 (2006). doi: 10.1016/j.actatropica.2005.11.002. Epub 2005 Dec 2. PMID: 16329986.															2002-04-01T00:00:00				2002	4				ard;hri;l;mbi						1000003350			ASIA				IR				Bandar Abbas									27.189	56.273																																																		Anopheles stephensi Liston, 1901								Animalia	Arthropoda	Insecta	Diptera	Culicidae		Anopheles	Anopheles			stephensi			SPECIES				ACCEPTED			0f0df35b-e431-4709-8b7a-9496fff9f253	GB	2023-12-11T12:39:53.957Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	1650441	1650441	1	54	216	811	3346	1650098		1650441	Anopheles stephensi	Anopheles stephensi Liston, 1901	Anopheles stephensi		DWC_ARCHIVE	2023-12-11T12:39:53.957Z	2023-12-11T12:39:45.367Z	true		https://doi.org/10.1073/pnas.200397611	IRN	Iran	IRN.11_1	Hormozgan	IRN.11.2_1	Bandar-e-Abbas			NE	
4439237425		https://doi.org/10.1073/pnas.2003976117		CC_BY_NC_4_0											Anopheles stephensi occurrence data 1985 - 2019		HUMAN_OBSERVATION				An_stephensi:910:IN																PRESENT																												l						2146281024			ASIA				IN				Narasimhanaichenpalayam									11.1146	76.9315																																																		Anopheles stephensi Liston, 1901								Animalia	Arthropoda	Insecta	Diptera	Culicidae		Anopheles	Anopheles			stephensi			SPECIES				ACCEPTED			0f0df35b-e431-4709-8b7a-9496fff9f253	GB	2023-12-11T12:39:53.957Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	1650441	1650441	1	54	216	811	3346	1650098		1650441	Anopheles stephensi	Anopheles stephensi Liston, 1901	Anopheles stephensi		DWC_ARCHIVE	2023-12-11T12:39:53.957Z	2023-12-11T12:39:45.367Z	true		https://doi.org/10.1073/pnas.200397611	IND	India	IND.31_1	Tamil Nadu	IND.31.3_1	Coimbatore	IND.31.3.1_1	Coimbatore	NE	
4439237424		https://doi.org/10.1073/pnas.2003976117		CC_BY_NC_4_0											Anopheles stephensi occurrence data 1985 - 2019		HUMAN_OBSERVATION				An_stephensi:799:PK																PRESENT																			2011-06-01T00:00:00				2011	6				hri;ard						2146280680			ASIA				PK				Jaman Shah									30.7975	70.894																																																		Anopheles stephensi Liston, 1901								Animalia	Arthropoda	Insecta	Diptera	Culicidae		Anopheles	Anopheles			stephensi			SPECIES				ACCEPTED			0f0df35b-e431-4709-8b7a-9496fff9f253	GB	2023-12-11T12:39:53.957Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	1650441	1650441	1	54	216	811	3346	1650098		1650441	Anopheles stephensi	Anopheles stephensi Liston, 1901	Anopheles stephensi		DWC_ARCHIVE	2023-12-11T12:39:53.957Z	2023-12-11T12:39:45.367Z	true		https://doi.org/10.1073/pnas.200397611	PAK	Pakistan	PAK.7_1	Punjab	PAK.7.2_1	Dera Ghazi Khan	PAK.7.2.2_1	Layyah	NE	
4439237423		https://doi.org/10.1073/pnas.2003976117		CC_BY_NC_4_0											Anopheles stephensi occurrence data 1985 - 2019		HUMAN_OBSERVATION				An_stephensi:591:MM																PRESENT																			1999-05-01T00:00:00				1999	5				mbi;mbo;abn;hri						1000014720			ASIA				MM				Tegyigone									20.166	94.933																																																		Anopheles stephensi Liston, 1901								Animalia	Arthropoda	Insecta	Diptera	Culicidae		Anopheles	Anopheles			stephensi			SPECIES				ACCEPTED			0f0df35b-e431-4709-8b7a-9496fff9f253	GB	2023-12-11T12:39:53.957Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	1650441	1650441	1	54	216	811	3346	1650098		1650441	Anopheles stephensi	Anopheles stephensi Liston, 1901	Anopheles stephensi		DWC_ARCHIVE	2023-12-11T12:39:53.957Z	2023-12-11T12:39:45.367Z	true		https://doi.org/10.1073/pnas.200397611	MMR	Myanmar	MMR.7_1	Magway	MMR.7.1_1	Magwe Minbu	MMR.7.1.2_1	Magwe	NE	
